id,business_id,name,address,latitude,longitude,stars,mainCategory,generalCategory
0,RFbMVekR8lU9tPJ8sWrwHg,Tavolino,619 Mount Pleasant Road,43.7042291,-79.3882299,4,italian,Southern European
1,gyFYZV4b_9TxG1ulQNi0Ig,Paramount Fine Foods,165 East Liberty Street,43.6384423,-79.4172366,2,salads,Southern European
2,aql8K6zVoJDGRJ3P-IgtpQ,Ume Fashion Sushi,1732 Kingston Road,43.6927912,-79.2626299,4.5,sushi,East Asian
3,c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,322 Adelaide Street W,43.6475853,-79.3920316,4.5,sandwiches,Northern European
4,SvUvVEr9cTjS-PJQ9MuckQ,Caffeine,1448 Lawrence Avenue E,43.742555,-79.314252,4.5,sandwiches,Northern European
5,IgQ8lSds3AgLFQsYsshUHQ,Gourmet Gringos,1921 Queen Street E,43.6690438622,-79.3044535463,3.5,mexican,Latin American
6,rVBPQdeayMYht4Uv_FOLHg,Gourmet Burger Company,843 Kipling Avenue,43.6332914,-79.5317683,3,burgers,American
7,4w-q_Wc77JzQZSIehKFTzA,Brockton Haunt,1150 College Street,43.652360563,-79.4339237061,4,sandwiches,Northern European
8,7MssGOl7IeOYCPn6uuSGxw,Bánh Cuon Thanh Trúc,2422 St Clair Ave W,43.6695111,-79.4824124,3.5,vietnamese,Southeast Asian
9,gU9EIsUkriQzDM91Sv3CtA,Kimchi House,586 Bloor St W,43.6649582,-79.4127496,4,korean,East Asian
10,8wpfZ3zJJ8LKO-z6C8hX-A,Pennylicks Gourmet Cafe,281 Augusta Ave,43.6559277,-79.4024678,4,sandwiches,Northern European
11,l7RCvKqA61Jzm98gaqIhvw,Brass Taps Pizza Pub,934 College St,43.6537865,-79.4261354,3.5,pizza,American
12,WOQNQx7SrMalJMXFENitpg,Ravi Soup,1533 Queen Street W,43.6393223111,-79.4425679049,4,sandwiches,Northern European
13,rz_MbxHYHWwZMT-F5fgfUA,Cusina Lounge,288 Wilson Avenue,43.7372891748,-79.4349258766,2,barbeque,American
14,qL2LoSauX4IG2KHtQevFUw,Lucky Lin's Restaurant,226 Markham Road,43.7443362,-79.2194828,3.5,thai,Southeast Asian
15,fZ5jJ_TOJHeaRi5UBdRvYw,Soup It Up,20 Bloor Street E,43.670313,-79.3864459,2,american,American
16,YH8Bn-7pLR-SFR8MCgQj1w,Jules Cafe Patisserie,617 Mount Pleasant Road,43.7041655,-79.3882122,3.5,french,Western European
17,4FE9FM8uvn9CV76Bxfxogw,T&T Roti Trinidad & Toronto Roti,Market 707,43.6521961365,-79.4055628113,4,carribean,African
18,VcZQXpk6vYAXwemOrC9PTw,Sagano,2035 Kennedy Road_ 14th Floor,43.776815,-79.282992,3,japanese,East Asian
19,dvbcUnKv2awsIxog7dO4vw,Hong Kong Bistro Cafe,472 Dundas Street W,43.6534452,-79.3968608,4,chinese,East Asian
20,7A1rTh8gGbJTyCIcbdb6dg,Rakia Bar,1402B Queen Street E,43.6647558,-79.3242952,4,canadian,Canadian
